down in the dumps	deprimido | triste
come back to bite him	su comportamiento le traerá consecuencias negativas en el futuro|su comportamiento le pasará factura en el futuro
apple pie	algo muy común o típico
cabin fever	sentirse atrapado o aburrido por estar en un lugar cerrado durante mucho tiempo
put all our eggs in one basket	arriesgarlo todo en una sola cosa|jugárnoslo todo a solo una cosa
have a bee in his bonnet	estar obsesionado con algo|tener una idea fija en la cabeza
add up	tener sentido|cuadrar|ser coherente
chasing her tail	estar muy ocupado pero sin avanzar en nada|estar dando vueltas sin lograr nada
beat a dead horse	insistir en algo que ya no tiene sentido|darle vueltas a algo que ya no tiene solución
count your chickens before they hatch	dar algo por seguro antes de que suceda|contar con algo que aún no ha sucedido
to kill two birds with one stone	hacer dos cosas a la vez|resolver dos problemas con una sola acción
keep his eye on the ball	prestar atención|estar concentrado en lo que se está haciendo
cloud nine	estar en la cima del mundo|estar en la gloria|estar en la nube nueve
wrong tree	equivocado en la elección de persona o cosa a la que se dirige o se busca.
read between the lines	leer entre líneas|interpretar lo que no se dice explícitamente
monkey business	actividades no serias o inapropiadas durante el horario de trabajo
sting in the tail	una sorpresa desagradable al final|una trampa al final
landing on his feet	salir bien parado de una situación difícil
bee in her bonnet	obsesión por algo, especialmente algo que no es importante o que no tiene solución.
not the end of the world	no es el fin del mundo
social butterfly	persona muy sociable|alma de la fiesta
not his cup of tea	no es lo suyo|no es de su agrado
march to the beat of your own drum	Ser uno mismo|Hacer lo que uno cree que es correcto sin importar lo que piensen los demás
get her feet wet	adquirir experiencia en algo nuevo|adaptarse a una nueva situación
stop and smell the roses	tomarse un momento para disfrutar de las cosas simples de la vida|disfrutar de las pequeñas cosas de la vida
step up their game	mejorar su rendimiento|dar lo mejor de sí
take it easy	tomárselo con calma|relajarse|descansar
showed his true colors	mostró su verdadera personalidad|mostró su verdadera cara
bunch of hogwash	mentiras|tonterías|disparates
beauty contest	competencia reñida|competencia dura|competencia fuerte
the bee's knees	algo excelente|algo maravilloso|lo mejor de lo mejor
keep her head above water	mantenerse a flote|sobrevivir
death warmed over	parecer muerto en vida
a big fish in a small pond	una persona importante en un ámbito limitado
can stomach	pueda soportar|pueda aguantar
sweating bullets	sudando la gota gorda
a bee in her bonnet	obsesión|idea fija
in over his head	estar en problemas|estar en aprietos|estar en dificultades|estar en una situación que no se puede manejar
lend a hand	ayudar
in the bag	seguro|garantizado|en el bolsillo
has bees in his bonnet	obsessed with something, especially an idea or plan
miss the boat	perder una oportunidad|quedarse atrás
had bats in her belfry	estar loca o chiflada
rest on his laurels	descansar en los logros pasados|conformarse con los logros pasados
put all her eggs in one basket	arriesgarlo todo en una sola cosa|jugárselo todo a solo una cosa
chip off the old block	una persona que se parece mucho a otra, especialmente a su padre o madre
buried her head in the sand	ignorar el problema|evadir el problema|no querer enfrentar el problema
touch base	ponerse en contacto|comunicarse
there's no tomorrow	como si no hubiera un mañana
at loggerheads	estar en desacuerdo|estar en conflicto
the elephant in the room	un tema incómodo o evidente que nadie quiere mencionar o discutir
put their best foot forward	presentarse de la mejor manera posible|dar una buena impresión
keep his cool	mantener la calma
put her foot in her mouth	decir algo inapropiado o embarazoso sin querer
hold your horses	esperar un momento|tener paciencia
stealing the show	acaparar la atención|robarse el espectáculo
wears his heart on his sleeve	mostrar sus sentimientos abiertamente
to mind her own beeswax	ocuparse de sus propios asuntos
cracked the whip	ejercer autoridad de manera dura|ser muy exigente con los empleados
to keep her head above water	mantenerse a flote|sobrevivir a pesar de las dificultades
skeletons in the closet	secretos oscuros del pasado
the skin of his teeth	por los pelos|por muy poco
not to take things personally	no tomarse las cosas de manera personal|no tomarse las cosas a pecho
Biting off more than you can chew	Intentar hacer más de lo que se puede manejar o asumir más responsabilidades de las que se pueden cumplir.
put his two cents in	dar su opinión sin ser solicitada|meterse en lo que no le importa
keep an eye out	estar pendiente|vigilar
shooting for the moon	intentar algo muy ambicioso o difícil de lograr.
changes horses midstream	cambiar de opinión o de estrategia en medio de un proyecto o tarea|cambiar de caballo a mitad del río
thrown for a loop	sorprendidos|desconcertados|desorientados
jump through hoops	hacer todo lo posible para cumplir con las exigencias de alguien|hacer esfuerzos extraordinarios para lograr algo
letting her hair down	relajándose y divirtiéndose sin preocupaciones|soltándose el pelo
lose sleep over something	preocuparse mucho por algo|no poder dormir por algo
get his ducks in a row	organizar sus ideas|poner todo en orden
hit it out of the park	hacer algo excepcionalmente bien|tener un gran éxito
manage her time better	aprender a administrar su tiempo mejor|mejorar su gestión del tiempo
fishy going on	algo sospechoso está pasando
reap what he sows	cosechar lo que ha sembrado|recoger los frutos de su esfuerzo
going around in circles	hacer algo sin avanzar o progresar|estar dando vueltas sin llegar a ningún lado
stick with it	perseverar|aguantar hasta el final
on top of the world	sentirse en la cima del mundo|sentirse en la gloria
let his hair down	relajarse|desmelenarse
keep your eye on the ball	estar concentrado en lo que se está haciendo|no perder de vista el objetivo
fair shake	oportunidad justa|trato justo
steals the show	acapara la atención|se lleva todo el protagonismo
get them straightened out	poner en orden|arreglar|organizar
the best thing since sliced bread	lo mejor que ha pasado en mucho tiempo|lo mejor que hay
burning the candle at both ends	trabajar demasiado|trabajar sin descanso
carved out a successful career	lograr una carrera exitosa|forjar una carrera exitosa
the ball	la responsabilidad|el control
made it big	tener éxito rotundo|triunfar en grande
dance to your own tune	hacer lo que uno quiere sin importar lo que piensen los demás|seguir su propio camino sin importar la opinión de los demás
to keep your eye on the ball	mantenerse enfocado en el objetivo|no perder de vista el objetivo
let her hair down	relajarse|desinhibirse
keeping her in the dark	mantenerla en la ignorancia|no informarla de todo lo que pasa
in a pickle	en un aprieto|en un dilema
throwing in the towel	rendirse|abandonar
on the wrong side of the bed	de mal humor|de mal genio|con el pie izquierdo
the brass ring	el éxito más alto posible|el premio más importante
test the waters	probar los límites|explorar los límites
six of one and half a dozen of the other	ambas partes son igualmente culpables o responsables|seis de una y media docena de la otra
seeing red	estar muy enojado
blow their socks off	Impresionarlos mucho|Dejarlos boquiabiertos
to let off steam	desahogarse|liberar tensiones
a shot in the dark	algo incierto|algo que se hace sin saber si tendrá éxito o no
the green light	la aprobación|la luz verde
hot water	problemas|dificultades|aprietos
to see stars	sentir mareo o vértigo
woke up on the wrong side of the bed	levantarse con el pie izquierdo|levantarse de mal humor
rain check	posponer una cita o un plan para otro momento.
blow his own trumpet	alabarse a sí mismo|presumir de sí mismo
shaken like a leaf	temblando como una hoja
a tough cookie	una tarea difícil|un hueso duro de roer
black ice	hielo negro
in her element	en su elemento|en su salsa
on pins and needles	estar en ascuas|estar en vilo|estar nervioso o ansioso por algo que va a suceder pronto
a rock and a hard place	estar entre la espada y la pared
old hat	algo que ya no es novedad|algo que ya está pasado de moda
hit the road	irse|partir
a few tricks up their sleeve	algunos trucos bajo la manga|algunos ases en la manga
to rock the boat	crear problemas o conflictos innecesarios|alterar el status quo
to hit the sack	irse a la cama|acostarse
to follow one's heart	seguir su corazón|seguir su pasión
to get the ball rolling	iniciar algo|poner en marcha algo|empezar algo
to turn the corner	superar un obstáculo|dar un giro positivo a una situación difícil
to see the light at the end of the tunnel	ver la luz al final del túnel
fishing in troubled waters	meterse en problemas innecesarios|buscar problemas donde no los hay
to take the bull by the horns	tomar el toro por las astas
out of this world	fuera de serie|fuera de este mundo|impresionante
cracked a smile	sonreírse ni siquiera un poco
on the same page	estar en la misma sintonía|estar de acuerdo en algo
let you off the hook	perdonar|dejar pasar|librar de culpa|eximir de responsabilidad
silly goose	tonto|bobo|ingenuo
turning the tables	darle la vuelta a la situación|invertir los papeles
cross that bridge when we come to it	ocuparse del problema cuando llegue|preocuparse del problema cuando llegue el momento
hit it off	llevarse bien|conectar bien|caerse bien
blow off some steam	desahogarse|liberar tensiones
living in a dream world	vivir en las nubes|vivir en un mundo de fantasía
green behind the ears	inexperta|novata|sin experiencia
all thumbs	torpe|patoso
bag of rags	desaliñada|hecha un desastre|hecha un guiñapo
loose ends	asuntos pendientes|cabos sueltos
around the block	tener experiencia en algo|haber pasado por algo varias veces
more than I can chew	más de lo que puedo manejar|mas de lo que puedo abarcar
paying off	está dando resultados|está dando frutos|está funcionando
blew my mind	me dejó impresionado|me dejó asombrado|me dejó boquiabierto
see eye-to-eye	tener una comprensión mutua|estar de acuerdo
big cheese	persona importante|persona influyente|persona poderosa
a tempest in a teapot	una tormenta en un vaso de agua
make time	sacar tiempo|hacer tiempo disponible
count our chickens before they hatch	dar algo por seguro antes de que suceda|dar algo por hecho antes de que suceda
water under the bridge	algo que ya pasó y no tiene importancia|algo que ya se superó y no hay resentimientos
throws a curveball	sorprende con algo inesperado o difícil de manejar
just what the doctor ordered	exactamente lo que se necesita|justo lo que el médico recetó
too little too late	demasiado poco y demasiado tarde
put all my eggs in one basket	arriesgarlo todo en una sola cosa|jugármelo todo a solo una cosa
rubbing salt in my wounds	echar sal en la herida|agravar la situación
fly by the seat of his pants	hacer las cosas sobre la marcha|improvisar
get lost	irse|largarse|perderse
knowledge is power	el conocimiento es poder
meet halfway	llegar a un acuerdo|ceder en algo para llegar a un acuerdo
keeping their eye on the ball	Mantenerse enfocado en el objetivo|No perder de vista el objetivo
paid through the nose	pagar un precio excesivo|pagar demasiado caro
kick back and relax	relajarse|descansar
keep their noses to the grindstone	trabajar duro|dedicarse con esfuerzo y constancia al trabajo
get your ducks in a row	organizar todo de manera adecuada antes de comenzar un proyecto nuevo
be at each other's throats	estar siempre discutiendo o peleando por cosas pequeñas
stand their ground	mantenerse firme en sus opiniones o posturas
couldn't see the forest for the trees	No poder ver la situación en su conjunto por estar demasiado concentrado en los detalles.
Time flies	El tiempo pasa volando.
burst a blood vessel	enfadarse muchísimo|ponerse furioso/a
get down to brass tacks	ir al grano|ir al meollo del asunto
the wrong side of the bed	levantarse con el pie izquierdo|levantarse de mal humor
picks up the tab	pagar la cuenta
knocked it out of the park	lo hizo excepcionalmente bien|lo hizo de manera sobresaliente
keep his head above water	mantenerse a flote|sobrevivir financieramente
has a chip on her shoulder	sentirse ofendido o resentido por algo que ha sucedido en el pasado y que todavía afecta su actitud o comportamiento presente.
knows the ropes	saber cómo funcionan las cosas|conocer los procedimientos
set in their ways	ser inflexible|tener ideas fijas|ser terco
bit my tongue	guardar silencio|no decir nada
find his feet	adaptarse|encontrar su camino|encontrar su lugar
in one ear and out the other	escuchar sin prestar atención|no prestar atención a lo que se escucha
back to square one	volver al punto de partida|volver a empezar desde cero
come true	hacerse realidad|cumplirse
beats around the bush	hablar sin decir nada en concreto|no ir al grano
a flash in the pan	Something that initially shows great promise but quickly fails or disappoints.
hit the hay early	irse a dormir temprano
lost her marbles	perder la cabeza|perder el juicio
wild card	persona impredecible | elemento sorpresa
a little birdie told me	Alguien me dijo|Me llegó al oído
getting our ducks in a row	organizándonos|poniendo todo en orden
to count his chickens before they hatch	dar algo por seguro antes de que suceda|dar algo por hecho antes de que suceda
to grin and bear it	aguantar el mal trago|soportar algo desagradable sin quejarse
control freak	persona obsesiva por el control|maníaco del control
took a rain check	posponer una cita o un plan para otro momento
live wire	una persona muy activa y llena de energía
chill out	relajarse|descansar
off her chest	decir todo lo que se tiene que decir|sacar algo de encima
down for the count	fuera de combate|noqueado
light at the end of the tunnel	esperanza de que algo mejore en el futuro|una solución o salida cercana a una situación difícil
to open a can of worms	abrir un tema delicado|abrir un tema polémico
make hay while the sun shines	aprovechar el momento oportuno|aprovechar el buen tiempo mientras dure
find a needle in a haystack	encontrar una aguja en un pajar
not even a crumb	ni una miga|ni un pedacito
hit the sack	irse a la cama|irse a dormir
butterflies in your stomach	nerviosismo|mariposas en el estómago
to put on a brave face	tratar de aparentar valentía o fortaleza ante una situación difícil o dolorosa.
to pull out all the stops	hacer todo lo posible|poner todo de nuestra parte|dar lo mejor de nosotros
a dish that steals the show	un plato que se roba el espectáculo|un plato que acapara la atención
fail by a country mile	fracasar estrepitosamente|fracasar por mucho
to shoot your shot	intentar algo, especialmente algo que parece difícil o arriesgado, sin importar el resultado final.
to keep his head above water	mantenerse a flote|sobrevivir a pesar de las dificultades
to prove them all wrong	demostrar que todos estaban equivocados
tie the knot	casarse
take it with a grain of salt	tomar algo con escepticismo|no creer algo completamente
pull someone's leg	tomarle el pelo a alguien|bromear con alguien
skip a beat	sentir una fuerte emoción|sentir mariposas en el estómago
to put my best foot forward	dar la mejor impresión posible|presentarse de la mejor manera posible
keep his nose to the grindstone	trabajar duro y sin descanso|estar enfocado en el trabajo y no distraerse
get back on her feet	recuperarse|levantarse de nuevo|volver a empezar
