down in the dumps	落ち込んでいる|がっかりしている
miss the boat	チャンスを逃す|チャンスを逃してしまう
had bats in her belfry	頭がおかしくなるほど興奮した|頭がおかしくなるほど興奮していた
rest on his laurels	過去の栄光にすがっている|過去の成功に甘んじている
put all her eggs in one basket	一つのことに全てを賭けることを避ける|一つのことにすべてを賭けることを避ける
chip off the old block	彼は彼の父親そっくりだ|彼は彼の父親のようだ
buried her head in the sand	現実逃避をする|げんじつとうひをする
touch base	連絡を取る|れんらくをとる
there's no tomorrow	明日がないように|あしたがないように
at loggerheads	意見が合わない|意見が対立する
the elephant in the room	明らかになっている問題|明白な問題
put their best foot forward	最善を尽くす|さいぜんをつくす
keep his cool	冷静を保つ|れいせいをたもつ
put her foot in her mouth	失言する|言葉を濁す
hold your horses	急がずに待ってください|急がずに待つ
stealing the show	注目を集める|人目を引く
wears his heart on his sleeve	率直すぎる|率直すぎて傷つきやすい
to mind her own beeswax	自分のことに集中してください|自分のことに気を配ってください
cracked the whip	厳しく指導する|厳しく指導した
to keep her head above water	困難な状況でも立ち向かう|困難な状況でも頭を冷静に保つ
skeletons in the closet	隠しておきたい秘密|隠しておきたい事実
the skin of his teeth	かろうじて|なんとかして
not to take things personally	個人的に受け取らないようにする|個人的に受け取らないように学ぶ
Biting off more than you can chew	手に負えないほどの仕事を引き受ける|手に負えないほどのことをやろうとする
put his two cents in	口を挟む|くちをはさむ
keep an eye out	注意して見ている|注意して見張っている
shooting for the moon	大きな目標を目指す|大きな目標を目指して頑張る
changes horses midstream	途中で方針を変える|途中でやり方を変える
thrown for a loop	混乱する|混乱させられる
jump through hoops	厳しい要求を満たすために手間暇をかける|手間暇をかけて要求を満たす
letting her hair down	気を許してリラックスする|気を許して本性を出す
lose sleep over something	何かを心配する|何かを気にする
get his ducks in a row	準備を整える|準備を整う
hit it out of the park	素晴らしかった|すばらしかった
manage her time better	時間を上手に使う|時間をうまく使う
fishy going on	何か怪しいことが起こっているように感じる|何か怪しいことが起こっているように思える
reap what he sows	自分がまいた種を刈り取る|自分がまいた種を刈り取ることになる
going around in circles	同じことを繰り返している気がする|同じことをぐるぐる回っている気がする
stick with it	最後までやり抜く|さいごまでやりぬく
on top of the world	世界一幸せな気分である|最高に幸せな気分である
let his hair down	気を楽にする|気を楽にして楽しむ
keep your eye on the ball	プロジェクトで成功したいなら、目的を見失わないようにすることが重要です。|目的を見失わないようにすることが必要です。
fair shake	公平な取り扱い|公正な機会
steals the show	注目を集める|目立つ
get them straightened out	整理する|整える
the best thing since sliced bread	最高のもの|最高の発明
burning the candle at both ends	過労気味である|過労気味である
carved out a successful career	成功したキャリアを築き上げた|成功したキャリアを切り開いた
the ball	仕事|しごと (work)
made it big	大成功を収める|大成功を収めた
dance to your own tune	自分のリズムで踊る|自分のペースでやる
to keep your eye on the ball	的を射る|まとめる
let her hair down	気を楽にする|気を楽にしてリラックスする
keeping her in the dark	彼女を無知のままにしておく|彼女を情報から隠す
in a pickle	困っている|こまっている
throwing in the towel	諦める|あきらめる
on the wrong side of the bed	朝起きたら気分が悪かった|朝起きたら調子が悪かった
the brass ring	成功するチャンス|成功の機会
test the waters	試しにやってみる|試しにやってみることがある
six of one and half a dozen of the other	どちらも同じようなもの|同じくらい悪い
seeing red	激怒している|げきどしている
blow their socks off	彼女はプレゼンテーション前に緊張していたが、勇気を出して彼らを感動させた|彼女はプレゼンテーション前に緊張していたが、勇気を出して彼らを驚かせた
to let off steam	ストレスを発散する|ストレスを解消する
a shot in the dark	見当違いのことをする|見当違いのことをするような気がする
the green light	許可を与える|許可を出す
hot water	困難な状況に陥る|困難な状況に巻き込まれる
to see stars	目が回る|めがまわる
woke up on the wrong side of the bed	今日は機嫌が悪いようだ。たぶん、起きたときに気分が乗らなかったのだろう。
rain check	また後で予定を変更する|また後で予定を延期する
blow his own trumpet	自分のことを自慢する|自分を褒める
shaken like a leaf	木の葉のように震えている|木の葉のように揺れ動いている
a tough cookie	手強い相手|手ごわい相手
black ice	"黒い氷|こくいこう (literally ""black ice"") is the correct translation of the term ""black ice"" in Japanese."
in her element	得意分野である|得意分野である状態である
on pins and needles	とても不安である|とても緊張している
a rock and a hard place	窮地に陥っている|苦境にある
old hat	古い話題になった|もう古い話題だ
hit the road	旅立つ|たびだつ
a few tricks up their sleeve	何か秘密の技を持っている|何か秘密の手段を持っている
to rock the boat	問題を引き起こす|問題を起こすのを避ける
to hit the sack	寝る|ねる
to follow one's heart	自分の心に従う|じぶんのこころにしたがう
to get the ball rolling	始動させる|始めるための準備をする
to turn the corner	難局を脱する|難局を脱することができる
to see the light at the end of the tunnel	トンネルの出口が見える|トンネルの終わりが見える
fishing in troubled waters	難しい状況に首を突っ込む|難しい状況に立ち向かう
to take the bull by the horns	問題に立ち向かう|ものごとに立ち向かう
out of this world	宇宙外の|異次元の|非現実的な
cracked a smile	笑いをこらえることができなかった|笑いをこらえることができなかった人はいなかった
on the same page	意見が一致している|意見が同じ
let you off the hook	今回は許しません|今回は許しませんよ
silly goose	おおらかな人|おおらかなやつ
turning the tables	形勢を逆転する|けいせいをぎゃくてんする
cross that bridge when we come to it	その時になってから考えましょう|その時になってから問題を解決しましょう
hit it off	仲良くなる|なじむ
blow off some steam	ストレスを発散する|ストレスを解消する
living in a dream world	夢想にふけっている|夢見心地で生きている
green behind the ears	経験が浅い|けいけんがあさい
all thumbs	不器用である|ぶきようである
bag of rags	ぼろ袋のように見える|ぼろ袋のような姿になる
loose ends	未解決の問題|未処理のこと項目
around the block	経験豊富な|けいけんほうふな
more than I can chew	自分には手に負えないことをする|自分には無理をする
paying off	成果が出ている|成果が現れている
blew my mind	驚かせた|驚かせてくれた
see eye-to-eye	意見が一致する|意見が合う
big cheese	偉い人|えらい人
a tempest in a teapot	小さな問題を大げさに扱う|小さな問題を大げさにする
make time	時間を作る|じかんをつくる
count our chickens before they hatch	孵化する前に鶏を数えるべきではない|先のことはわからないので、あまり先のことを考えすぎない方がいい
water under the bridge	問題はもう解決した|問題はもう水に流れた
throws a curveball	予期せぬ問題が起こる|予期せぬことが起こる
just what the doctor ordered	まさに必要なものです|まさに必要なものである
too little too late	手遅れになってしまった|手遅れすぎる
put all my eggs in one basket	一つのことに全てを賭ける|一つのことにすべてをかける
rubbing salt in my wounds	傷口に塩を塗るようなことを言う|傷口に塩を塗るようなことをしている
fly by the seat of his pants	即興で行動する|即席で行動する
get lost	出て行ってください|出て行くように言う
knowledge is power	知識は力なり|ちしきはちからなり
meet halfway	妥協する|だきょうする
keeping their eye on the ball	目的を見失わずに集中する|目的を見失わずに集中することが勝利につながった
paid through the nose	高くついた|たくさん払った
kick back and relax	くつろいでリラックスする|くつろいで寛ぐ
keep their noses to the grindstone	一生懸命働く|いっしょうけんめいはたらく
get your ducks in a row	準備を整える|準備を整う
be at each other's throats	小さなことでもいがみ合っている|小さなことで口論している
stand their ground	譲らない|ゆずらない
couldn't see the forest for the trees	細かいことにこだわりすぎて全体像が見えない|全体像が見えないほど細かいことにこだわる
Time flies	時間があっという間に過ぎる|時間が飛ぶ
burst a blood vessel	激怒する|激怒している
get down to brass tacks	本腰を入れて話し合う|本腰を入れて取り組む
the wrong side of the bed	機嫌が悪い|きげんがわるい
picks up the tab	彼はいつも勘定を払ってくれます|彼はいつもおごってくれます
knocked it out of the park	素晴らしいプレゼンでした|素晴らしい成果を出しました
keep his head above water	困難な状況でも立ち直ることができた|困難な状況でも耐え抜くことができた
has a chip on her shoulder	恨みを持っている|恨みを抱いている
knows the ropes	やり方を知っている|手順を知っている
set in their ways	自分の考えを変えない|自分のやり方に固執している
bit my tongue	黙って我慢する|黙って我慢する
find his feet	自分の立ち位置を見つける|自分の立ち位置を確立する
in one ear and out the other	片耳から入って片耳から出る|かたみみからはいってかたみみからでる
back to square one	最初からやり直す必要がある|最初からやり直すことになる
come true	実現する|じつげんする
beats around the bush	話を避ける|話をはぐらかす
a flash in the pan	期待はずれ|きたいはずれ
hit the hay early	早く寝る|はやくねる
lost her marbles	正気を失った|しらけた
wild card	予測できない人|予想外の人|未知数の人
a little birdie told me	内緒だけど〜|内緒にしておくけど〜
getting our ducks in a row	計画を整える|計画をまとめる
to count his chickens before they hatch	孵化する前に鶏を数える|孵化する前に鶏を数えるな
to grin and bear it	我慢する|がまんする
control freak	完全主義者|かんぜんしゅぎしゃ
took a rain check	延期する|えんきする
live wire	活気にあふれた人|活気にあふれた人物
chill out	くつろいでください|リラックスしてください
off her chest	心の中を吐き出す|心の内を打ち明ける
down for the count	手が動かなくなってしまった|手が動かせなくなってしまった
light at the end of the tunnel	トンネルの出口に光が見える|トンネルの先に希望がある
to open a can of worms	問題を引き起こす|問題を起こす可能性があることを言う
make hay while the sun shines	好機を逃さずに利用する|こうきをのがさずにりようする
find a needle in a haystack	山積みの中から目的のものを見つけるのは困難である|山積みの中から目的のものを見つけるのは難しい
not even a crumb	一つのかけらも残さずに|一つのかけらも残さず
hit the sack	寝床に入る|ねどころにはいる
butterflies in your stomach	緊張する|きんちょうする
to put on a brave face	強がる|つよがる
to pull out all the stops	全力を尽くす|ぜんりょくをつくす
a dish that steals the show	注目を集める料理|目立つ料理
fail by a country mile	大差で失敗する|たいさでしっぱいする
to shoot your shot	思い切って行動する|思い切ってチャレンジする
to keep his head above water	やりくりする|やりくりしている
to prove them all wrong	全員が間違っていることを証明する|全員が間違っていることを証明すること
tie the knot	結婚する|けっこんする
take it with a grain of salt	疑ってかかる|うのみにしない
pull someone's leg	冗談を言う|じょうだんをいう
skip a beat	彼は彼女に再会して、心臓が高鳴った|彼女に再会して、心臓がどきりと止まった
to put my best foot forward	自分の最高の面を見せる|自分の最善を尽くす
keep his nose to the grindstone	一生懸命働く|いっしょうけんめいはたらく
get back on her feet	立ち直る|たちなおる
