down in the dumps	deprimiert|niedergeschlagen|traurig|bedrückt|frustriert
cool head	ruhiges Gemüt|Gelassenheit|Nerven wie Drahtseile|kühler Kopf|Besonnenheit
life of the party	Mittelpunkt der Party|Stimmungsmacher|Partylöwe|Partymaus
noses to the grindstone	sich ins Zeug legen|hart arbeiten|sich anstrengen|sich bemühen|sich konzentrieren
bigger picture	das große Ganze|die Gesamtsituation|der Gesamtzusammenhang|die langfristigen Auswirkungen
get on the same page	sich einigen|auf einen Nenner kommen|auf einer Wellenlänge sein|sich verständigen
off the cuff	aus dem Stegreif|ohne Vorbereitung|spontan|ungeplant
her all	ihr Bestes|alles, was sie hatte|ihre ganze Kraft|ihre ganze Energie|ihre ganze Ausdauer
to sweeten the pot	etwas attraktiver machen|ein Angebot verbessern|ein Angebot aufwerten|einen Anreiz schaffen
bought hook, line and sinker	etwas bedingungslos glauben|etwas ohne Vorbehalt akzeptieren|etwas vollständig schlucken|etwas völlig übernehmen
to go the distance	bis zum Ende durchhalten|bis zum Schluss durchhalten|durchhalten, bis das Ziel erreicht ist|bis zum Ziel kommen|das Ziel erreichen
to treat yourself	sich etwas gönnen|sich verwöhnen|sich belohnen|sich etwas Besonderes gönnen
spinning our wheels	keine Fortschritte machen|auf der Stelle treten|nicht weiterkommen|sich im Kreis drehen
silver lining	Hoffnungsschimmer|positive Seite|gutes Ende|positive Aussicht|positive Wendung
to hit the nail on the head	den Nagel auf den Kopf treffen|ins Schwarze treffen|genau richtig sein|etwas auf den Punkt bringen
with a chip on her shoulder	mit einer beleidigten Leberwurst-Stimmung|mit einer schlechten Laune|mit einer negativen Einstellung|mit einer feindseligen Haltung
with a grain of salt	mit Vorsicht genießen|mit Skepsis betrachten|nicht alles für bare Münze nehmen|nicht alles ernst nehmen
to play devil's advocate	den Advocatus Diaboli spielen|eine Gegenposition einnehmen|eine kontroverse Position einnehmen|eine provokante Position einnehmen
a social butterfly	ein geselliger Mensch|ein Partygänger|ein extrovertierter Mensch|ein Schmetterling der Gesellschaft
the benefit of the doubt	der Zweifel zugunsten des Angeklagten|jemandem das Wohlwollen entgegenbringen|jemandem vertrauen, obwohl man nicht sicher ist, ob er/sie die Wahrheit sagt
a bitter pill to swallow	eine harte Pille zum Schlucken|etwas Schweres, das man akzeptieren muss|etwas Unangenehmes, das man ertragen muss
a fish out of water	sich fremd fühlen|sich unwohl fühlen|sich wie ein Fisch auf dem Trockenen fühlen
sell it like hotcakes	sich wie warme Semmeln verkaufen|schnell und erfolgreich verkauft werden|sehr beliebt sein|reißenden Absatz finden
pull out all the stops	alle Register ziehen|keine Mühen scheuen|alles geben|sich voll ins Zeug legen
all hat, no cattle	viel Wind um nichts machen|viel Lärm um nichts|große Töne spucken, aber nichts dahinter haben
to pass up	ablehnen|vorbeigehen lassen|nicht wahrnehmen|nicht nutzen
to stay ahead of the game	sich einen Vorteil verschaffen|sich einen Wettbewerbsvorteil verschaffen|sich einen Vorsprung verschaffen|sich einen Vorsprung erarbeiten
to turn over a new leaf	eine neue Seite aufschlagen|einen Neuanfang machen|sich ändern|sich bessern
drop in the bucket	something small or insignificant compared to what is needed or expected|ein Tropfen auf den heißen Stein
sticker shock	Preisschock|Preisüberraschung|Preisentsetzen
take a rain check	verschieben|auf später verschieben|einen neuen Termin vereinbaren|später treffen
has her ducks in a row	alles im Griff haben|gut organisiert sein|gut vorbereitet sein|gut strukturiert sein
jump on the bandwagon	sich anschließen|mitmachen|sich einer Sache anschließen|sich einer Bewegung anschließen|sich einer Mode anschließen
cross the finish line	das Ziel erreichen|erfolgreich abschließen|den Durchbruch schaffen
butterflies in his stomach	Lampenfieber haben|nervös sein|sich unwohl fühlen|Herzklopfen haben
lick my wounds	meine Wunden lecken|meine Verletzungen heilen|meine Enttäuschung verarbeiten|meine Trauer bewältigen
kill two birds with one stone	zwei Fliegen mit einer Klappe schlagen
red herrings	Ablenkungen|Irrwege|falsche Fährten|Sackgassen
of the essence	von entscheidender Bedeutung|wichtig|essentiell|unverzichtbar|unerlässlich
she missed the boat	sie hat den Zug verpasst|sie hat die Gelegenheit verpasst|sie hat den Anschluss verloren
the bush	um den heißen Brei herumreden|sich nicht klar ausdrücken|nicht auf den Punkt kommen
a fly in the ointment	ein Haken|ein Problem|eine Schwierigkeit|ein Hindernis|eine Unannehmlichkeit
you're tilting at windmills	you're fighting a losing battle|you're wasting your time|you're pursuing an unrealistic goal|you're chasing an illusion
keep an eye on him	ein Auge auf ihn haben|ihn im Auge behalten|wachsam sein|aufpassen
moving the goalposts	das Ziel ändern|die Spielregeln ändern|die Anforderungen ändern|die Erwartungen ändern
playing both sides	mit beiden Seiten spielen|doppeltes Spiel spielen|sich nicht festlegen wollen|sich nicht entscheiden können
robbing Peter to pay Paul	Geld von einer Stelle zur anderen umleiten|Peter berauben, um Paul zu bezahlen|eine Schuldenfalle vermeiden wollen
cold feet	zweifelnd sein|zurückhaltend sein|unsicher sein|Angst haben|Bedenken haben
up the creek without a paddle	in Schwierigkeiten stecken|in der Klemme sitzen|in einer misslichen Lage sein|keinen Ausweg haben|verloren sein
silver spoon in her mouth	sie hatte es von Geburt an leicht|sie hatte es von Geburt an besser|sie hatte es von Geburt an privilegiert|sie hatte es von Geburt an leichter als andere|sie hatte es von Geburt an einfacher als andere|sie hatte es von Geburt an besser als andere
hitting the hay	ins Bett gehen|sich schlafen legen|sich ausruhen|sich erholen
the real McCoy	echt|authentisch|original|wirklich gut
stirring the pot	Unruhe stiften|Streit anfachen|für Unruhe sorgen|für Aufregung sorgen
take the bull by the horns	die Sache in die Hand nehmen|den Stier bei den Hörnern packen|entschlossen handeln|sich einer Herausforderung stellen
live it up	sich etwas gönnen|sich etwas leisten|sich etwas Besonderes gönnen|sich etwas Luxuriöses gönnen
back in the saddle	wieder im Sattel sitzen|wieder auf dem Damm sein|wieder fit sein|wieder bereit sein, neue Herausforderungen anzunehmen
jump ship	den Job wechseln|den Arbeitgeber wechseln|kündigen und eine neue Stelle suchen
play my cards right	etwas geschickt anstellen|etwas klug angehen|etwas geschickt machen|etwas klug machen
pushing the envelope	etwas Neues wagen|Grenzen austesten|sich an Grenzen wagen|sich an Grenzen herantasten
get off her high horse	vom hohen Ross herunterkommen|sich nicht mehr so wichtig nehmen|sich bescheiden
cut corners	einen Umweg machen|eine Abkürzung nehmen|einsparen|sparen an der falschen Stelle
put your nose to the grindstone	sich ins Zeug legen|sich anstrengen|hart arbeiten|sich konzentrieren|sich aufraffen|sich zusammenreißen
flies off the handle	sich aufregen|sich auf die Palme bringen lassen|aus der Haut fahren|sich aufblasen|sich aufplustern
go back to square one	wieder von vorne anfangen|nochmal von vorne beginnen|zurück auf Anfang gehen
hit rock bottom	am Tiefpunkt angelangt sein|den absoluten Tiefpunkt erreicht haben|sich am Boden befinden|sich in einer sehr schlechten Lage befinden
point me in the right direction	mir den Weg weisen|mir helfen, die richtige Richtung zu finden|mir einen Hinweis geben, wie ich vorgehen soll
the name of the game	die Realität|das Wesen der Sache|die Spielregeln|die Gepflogenheiten
rocket science	etwas sehr Kompliziertes|etwas sehr Schwieriges|etwas sehr Komplexes|etwas sehr Herausforderndes
hold my horses	Geduld haben|sich zurückhalten|sich beruhigen|nicht voreilig handeln
in the dark	im Dunkeln tappen|keine Ahnung haben|nicht verstehen|nicht durchblicken
go the extra mile	sich besonders anstrengen|sich besonders bemühen|einen Schritt weitergehen|sich besonders engagieren
kick the bucket	sterben|das Zeitliche segnen|ableben|davon scheiden|ins Gras beißen|den Löffel abgeben
burn that bridge when we come to it	etwas aufschieben|etwas später entscheiden|etwas später angehen|etwas später klären
brick wall	eine Sackgasse|eine Blockade|ein Hindernis|eine Hürde|ein Rückschlag
chicken out	sich drücken|sich vor etwas drücken|sich feige verhalten|einen Rückzieher machen|einknicken
have butterflies in his stomach	sich unwohl fühlen|sich nervös fühlen|sich aufgeregt fühlen|sich mulmig fühlen|Herzklopfen haben
a chip on my shoulder	ein Vorurteil haben|eine vorgefasste Meinung haben|voreingenommen sein|skeptisch sein|misstrauisch sein
laugh their head off	sich kaputtlachen|sich totlachen|sich halbtotlachen|sich kringeln vor Lachen
all hands on deck	alle Mann an Bord|alle Kräfte mobilisieren|jeder ist gefragt|alle müssen mit anpacken
under wraps	geheim halten|vertraulich behandeln|nicht ausplaudern|nicht verraten
to beat around the bush	um den heißen Brei herumreden|nicht auf den Punkt kommen|sich in Ausflüchten verlieren
wet behind the ears	unerfahren|grün hinter den Ohren|noch nicht lange dabei|noch nicht viel Erfahrung haben
in order	geregelt|in Ordnung|geordnet|organisiert
nip it in the bud	etwas im Keim ersticken|etwas frühzeitig unterbinden|etwas von Anfang an verhindern
took the plunge	sich trauen|den Schritt wagen|sich entscheiden, etwas zu tun, das Risiken birgt
bring home the bacon	Erfolg haben|Erfolge erzielen|Erfolge vorweisen können|Erfolge erlangen
big break	großer Durchbruch|Chance des Lebens|Erfolgserlebnis|Karrieresprungbrett
out of the blue	plötzlich|unerwartet|aus heiterem Himmel|ohne Vorwarnung
blank out	einen Blackout haben|einen Aussetzer haben|einen Gedächtnisausfall haben|einen Hänger haben
feeling under the weather	sich schlapp fühlen|sich unwohl fühlen|krank fühlen|nicht auf der Höhe sein|angeschlagen sein
sit on her hands	nichts tun|untätig sein|nichts unternehmen|nichts in Angriff nehmen
went out the window	verschwanden|verflogen|waren wie weggeblasen|waren vergessen|waren nicht mehr präsent
feeling jittery	nervös sein|unruhig sein|zappelig sein|sich aufgeregt fühlen
by the wayside	scheitern|nicht zustande kommen|nicht realisiert werden|nicht umgesetzt werden|nicht klappen
get away from it all	sich zurückziehen|sich erholen|sich entspannen|sich ausklinken|sich abkapseln
cash cow	Goldesel|Einnahmequelle|Gelddruckmaschine
off the charts	außerordentlich|unglaublich|außergewöhnlich|herausragend|unvergleichlich
to heart	persönlich nehmen|zu Herzen nehmen
flash in the pan	Eintagsfliege|kurzlebiges Phänomen|Strohfeuer|kurzfristiger Erfolg ohne Nachhaltigkeit
dogged determination	hartnäckige Entschlossenheit|unbeirrbare Entschlossenheit|unerschütterliche Entschlossenheit
meeting of the minds	Übereinkunft|Einigung|Konsens|Überstimmung
burn any bridges	alle Türen offen halten|keine Brücken hinter sich abbrechen|keine Feinde machen
bite my tongue	sich zurückhalten|sich beherrschen|sich zusammenreißen|den Mund halten|nichts sagen|sich zurücknehmen
to break the ice	das Eis brechen|das Eis zum Schmelzen bringen|den ersten Schritt machen|das Schweigen brechen
to clean house	to make a clean sweep|to get rid of corruption or inefficiency in an organization|to eliminate unnecessary or unwanted things or people
to call it a day	aufgeben|es sein lassen|Schluss machen|beenden|aufhören
walking on eggshells	sich vorsichtig verhalten|auf Zehenspitzen gehen|sich unsicher fühlen|sich in einer schwierigen Lage befinden
fair weather	gutes Wetter|schönes Wetter|Sonnenschein|gute Zeiten|gute Bedingungen
to get our foot in the door	einen Fuß in die Tür bekommen|einen Einstieg finden|sich Zugang verschaffen
count her chickens before they hatched	sich zu früh freuen|den Tag vor dem Abend loben|vorzeitig jubeln|vorzeitig feiern
Burning the midnight oil	bis spät in die Nacht arbeiten|die Nacht durchmachen|nächtelang arbeiten|die Nacht zum Tag machen
keep your head above water	über Wasser halten|sich über Wasser halten|nicht untergehen|nicht untergehen lassen|überleben|durchhalten|durchkommen
put two and two together	zusammenzählen|zusammenreimen|zusammenfügen|zusammenbringen
black and white	einfach|klar|unmissverständlich|schwarz-weiß-Denken
missed the boat	eine Chance verpasst haben|zu spät sein|den Zug verpasst haben|eine Gelegenheit verpasst haben
fast learner	schnelle Auffassungsgabe|schnell lernend|schnell begreifend|schnell verständig
let it all hang out	sich gehen lassen|sich fallen lassen|sich gehen lassen und alles sagen, was man denkt oder fühlt
walk the walk	Taten sprechen lauter als Worte|Nicht nur reden, sondern handeln|Worte in Taten umsetzen
your foot in the door	einen Fuß in der Tür haben|einen Einstieg finden|eine Chance bekommen|eine Möglichkeit ergreifen
get our ducks in a row	unsere Sachen ordnen|unsere Angelegenheiten in Ordnung bringen|unsere Vorbereitungen treffen|unsere Pläne koordinieren
to have her cake and eat it too	das Beste aus beiden Welten haben wollen|sich nicht entscheiden wollen|beides wollen, ohne Kompromisse einzugehen
have bigger fish to fry	größere Probleme haben|größere Sorgen haben|vor größeren Herausforderungen stehen
let my hair down	sich entspannen|sich gehen lassen|sich locker machen|sich ausruhen
has a heart of gold	ein Herz aus Gold haben|ein sehr gutes Herz haben|sehr freundlich und großzügig sein
put my two cents in	meinen Senf dazugeben|meine Meinung sagen|meinen Beitrag leisten|meinen Standpunkt vertreten
the pedal to the metal	sich ins Zeug legen|Gas geben|sich anstrengen|sich bemühen|sich Mühe geben
spilling the beans	ausplaudern|ein Geheimnis verraten|etwas ausplaudern|etwas verraten
outside the box	kreativ|unorthodox|ungewöhnlich|neuartig|originell|innovativ
a thorn in my side	ein Dorn im Auge|ein Ärgernis|ein Hindernis|ein Problem|ein Störfaktor
making waves	für Aufsehen sorgen|für Furore sorgen|für Wirbel sorgen|für Begeisterung sorgen
lame duck	schwache Ausrede|unglaubwürdige Entschuldigung|faule Ausrede
all mouth and no trousers	viel Wind um nichts machen|große Töne spucken|viel versprechen und wenig halten
practice makes perfect	Übung macht den Meister.
brownie points	Anerkennung|Lob|Belohnung|Bonus|Pluspunkt
a can of worms	eine Büchse der Pandora|ein Fass ohne Boden|ein Problemhaufen|ein Schlamassel
deer caught in headlights	wie das Kaninchen vor der Schlange stehen|wie gelähmt sein|wie erstarrt sein|wie angewurzelt stehen|wie vom Blitz getroffen sein
more harm than good	mehr Schaden als Nutzen
the bag	"figurative translation of ""the bag"" in this context is: the responsibility or the blame"
a stiff upper lip	eine steife Oberlippe bewahren|sich nichts anmerken lassen|tapfer bleiben|sich zusammenreißen
blew her top	aus der Haut fahren|die Beherrschung verlieren|sich aufregen|wütend werden
to tighten our belts	den Gürtel enger schnallen|sparsamer leben|weniger Geld ausgeben|sich einschränken
to stay above water	über Wasser bleiben|sich über Wasser halten|nicht untergehen|nicht ertrinken|nicht unter Stress zusammenbrechen
finger-licking good	köstlich|lecker|zum Reinlegen|zum Anbeißen|zum Fingerlecken
to face the music	die Konsequenzen akzeptieren|für etwas geradestehen|sich seiner Verantwortung stellen|die Wahrheit akzeptieren
to fit a square peg into a round hole	etwas erzwingen, was nicht passt|etwas erzwingen, was nicht funktioniert|etwas erzwingen, was nicht geeignet ist|etwas erzwingen, was nicht angemessen ist
be a breath of fresh air	eine willkommene Abwechslung sein|frischen Wind bringen|eine Bereicherung sein
get back on the horse	wieder anfangen|wieder einsteigen|wieder beginnen|sich erholen und weitermachen|sich wieder aufraffen|sich wieder motivieren
to be ahead of the curve	einen Schritt voraus sein|eine Nasenlänge voraus sein|sich im Voraus informieren|sich frühzeitig auf etwas einstellen
to bark up the wrong tree	etwas in die falsche Richtung versuchen|sich auf dem Holzweg befinden|einen Irrweg einschlagen|einen Fehler machen|eine falsche Fährte verfolgen
made the cut	erfolgreich sein|die Anforderungen erfüllen|die Voraussetzungen erfüllen|die Hürde nehmen|die Prüfung bestehen
to bring home the bacon	etwas erreichen, das Geld oder Erfolg bringt|den Kuchen backen und ihn auch essen können|Erfolg haben|Geld verdienen
To make a long story short	um es kurz zu machen|um es kurz zu sagen|kurz gesagt|zusammenfassend
lean on	sich auf jemanden verlassen|sich auf jemanden stützen|sich auf jemanden verlassen können|jemandem vertrauen können
rock the boat	etwas riskieren|etwas wagen|etwas in Gefahr bringen|etwas gefährden|etwas aufs Spiel setzen
shoulder to cry on	jemand, bei dem man sich ausweinen kann|jemand, der einem Trost spendet|jemand, der einem zuhört und unterstützt
kill them with kindness	jemanden mit Freundlichkeit überschütten|jemanden mit Freundlichkeit überraschen|jemanden mit Freundlichkeit überwältigen
at a low ebb	auf einem Tiefpunkt|in einer schlechten Verfassung|niedergeschlagen|demoralisiert
on the ball	auf Zack|auf Draht|aufmerksam|konzentriert|wachsam|auf dem Posten|auf dem Laufenden|auf Trab
pull it off	etwas erfolgreich durchziehen|etwas erfolgreich bewältigen|etwas erfolgreich abschließen|etwas erfolgreich meistern
perseverance pays off	Durchhaltevermögen zahlt sich aus|Beharrlichkeit führt zum Erfolg|Ausdauer wird belohnt
land on his feet	sich auf die Füße stellen|sich wieder erholen|sich wieder aufrappeln|wieder auf die Beine kommen
take your eye off the ball	sich ablenken lassen|sich ablenken lassen von wichtigen Dingen|sich ablenken lassen von den Zielen|sich ablenken lassen von den Prioritäten
cutting the mustard	to perform well|to meet expectations|to do a good job|to succeed
feel the burn	erschöpft sein|überarbeitet sein|sich ausgebrannt fühlen|sich erschöpft fühlen
grin from ear to ear	strahlen vor Glück|vor Freude grinsen|ein breites Grinsen im Gesicht haben|über beide Ohren grinsen
cup of tea	etwas, das man sehr mag|etwas, das einem sehr liegt|etwas, das einem sehr zusagt|etwas, das einem sehr gefällt
pat on the back	Anerkennung zeigen|jemanden loben|jemanden ermutigen|jemanden aufmuntern
peaches and cream	alles ist in Ordnung|alles ist perfekt|alles ist wunderbar|alles ist rosig
on edge	nervous|anxious|tense|apprehensive|worried|edgy
pinch of salt	Prise Salz|kleine Menge Salz|etwas Salz|eine Prise Würze
close to his chest	geheim halten|nicht verraten|nicht preisgeben|für sich behalten
cutting it too thin	knapp bemessen|auf Messers Schneide sein|zu spät dran sein|in Zeitnot sein
midnight oil	bis spät in die Nacht arbeiten|die Nacht durchmachen|lange arbeiten|lange wach bleiben, um zu arbeiten
guts and grit	Mut und Entschlossenheit|Mut und Durchhaltevermögen|Mut und Zähigkeit
moving full steam ahead	mit voller Kraft vorangehen|mit vollem Dampf voraus|schnell und erfolgreich expandieren
play both sides	mit beiden Seiten spielen|sich nicht festlegen|zwischen zwei Stühlen sitzen
stay put	an Ort und Stelle bleiben|bleiben wo man ist|nicht weggehen|nicht fortgehen|nicht weggehen
Biting the bullet	Sich zusammenreißen|Sich durchbeißen|Sich durchkämpfen|Sich durchsetzen|Sich durchschlagen|Sich behaupten|Sich etwas unangenehmes antun müssen
you can't have your cake and eat it too	Man kann nicht alles haben|Man kann nicht auf zwei Hochzeiten tanzen|Man kann nicht alles gleichzeitig haben
pulling my leg	jemanden auf den Arm nehmen|jemanden veräppeln|jemanden zum Narren halten
pulled the rug out from under me	plötzlich und unerwartet den Boden unter den Füßen verlieren|plötzlich und unerwartet aus der Bahn geworfen werden|plötzlich und unerwartet in eine schwierige Lage geraten
Barking up the wrong tree	Auf dem Holzweg sein|Sich im Irrtum befinden|Sich in der Sackgasse befinden
budge an inch	keinen Millimeter nachgeben|sich keinen Zentimeter bewegen|standhaft bleiben|unbeirrbar sein
running on fumes	am Ende sein|keine Energie mehr haben|ausgelaugt sein|erschöpft sein
off the wall	unangebracht|unpassend|abwegig|verrückt|schräg
raining on our parade	uns die Stimmung verderben|uns den Spaß verderben|uns die Laune verderben|uns den Tag vermiesen
playing with fire	mit dem Feuer spielen|ein hohes Risiko eingehen|sich auf dünnem Eis bewegen
hunker down	sich zusammenkauern|sich ducken|sich bereitmachen für etwas Schlimmes|sich auf etwas vorbereiten, das kommen wird
cross that bridge when I come to it	Das Problem wird sich schon lösen lassen, wenn es soweit ist|Ich werde das Problem angehen, wenn es soweit ist|Ich werde das Problem lösen, wenn es soweit ist
the good fight	der gute Kampf|der erfolgreiche Kampf|der Kampf für das Gute|der Kampf für eine gute Sache
take the plunge	sich ins kalte Wasser wagen|den Sprung ins Ungewisse wagen|etwas riskieren|etwas Neues ausprobieren
the blues	Depression|Traurigkeit|Niedergeschlagenheit|Melancholie
turn things around	die Dinge umdrehen|die Dinge wenden|die Dinge zum Besseren wenden|eine Wende schaffen|eine Trendwende schaffen
be there for her	für sie da sein|sie unterstützen|sie begleiten|sie trösten
sweep them under the rug	etwas unter den Teppich kehren|etwas verdrängen|etwas ignorieren|etwas verschweigen
cooking the books	die Bücher frisieren|die Bücher manipulieren|die Bilanzen fälschen|die Zahlen schönen
broke the ice	das Eis brechen|die Stimmung auflockern|den Anfang machen|den ersten Schritt machen|das Schweigen brechen
the real deal	echt|authentisch|original|wirklich gut|von hoher Qualität
take a load off	sich entspannen|sich ausruhen|sich erholen|sich eine Pause gönnen
a bunch of baloney	Unsinn|Quatsch|Blödsinn|Schwachsinn|Lüge
thin ice	auf dünnem Eis sein|sich in einer heiklen Lage befinden|sich auf unsicherem Terrain bewegen
batting an eye	ohne mit der Wimper zu zucken|ohne zu zögern|ohne zu überlegen
chickens out	sich drücken|sich vor etwas drücken|sich herausreden|sich feige verhalten|sich zurückziehen
burn bridges	alle Brücken hinter sich abbrechen|sich verbrennen|sich verbrannte Erde hinterlassen|sich von allem und jedem abwenden
keep our ducks in a row	alles im Griff haben|alles unter Kontrolle haben|gut organisiert sein|gut vorbereitet sein
behind closed doors	hinter verschlossenen Türen|im Verborgenen|heimlich|geheimnisvoll|im Geheimen
pull the wool over my eyes	jemanden hinters Licht führen|jemanden täuschen|jemanden betrügen
throwing money down the drain	Geld zum Fenster rauswerfen|Geld verschwenden|Geld verprassen|Geld vergeuden
come back to bite him	sich rächen|sich negativ auswirken|sich als Fehler erweisen|sich als Bumerang erweisen
apple pie	something that is very common or popular
cabin fever	Gefühl von Isolation und Langeweile durch zu viel Zeit in einem begrenzten Raum oder einer begrenzten Umgebung.
put all our eggs in one basket	alles auf eine Karte setzen|alles auf ein Pferd setzen|alles auf eine Option setzen
have a bee in his bonnet	sich über etwas aufregen|sich über etwas ärgern|sich über etwas beschweren|etwas ständig im Kopf haben
add up	sich schlüssig ergeben|sich zusammenfügen|sich reimen|sich decken|sich ergänzen
chasing her tail	sich im Kreis drehen|sich im Kreis bewegen|sich im Kreislauf befinden|sich im Hamsterrad befinden
beat a dead horse	etwas unnötig weiterverfolgen|auf etwas beharren, das bereits entschieden ist|einem toten Pferd hinterherlaufen
count your chickens before they hatch	den Tag vor dem Abend loben|sich zu früh freuen|sich zu früh sicher sein|vorzeitig jubeln
to kill two birds with one stone	zwei Fliegen mit einer Klappe schlagen
keep his eye on the ball	sich auf das Wesentliche konzentrieren|sich auf das Ziel fokussieren|sich aufmerksam zeigen|sich auf etwas konzentrieren|bei der Sache bleiben
cloud nine	auf Wolke sieben sein|überglücklich sein|sehr glücklich sein|im siebten Himmel sein
wrong tree	falsche Adresse|falscher Ansprechpartner|falscher Weg
read between the lines	zwischen den Zeilen lesen|die versteckte Bedeutung erkennen|das Unaussprechliche verstehen|das Offensichtliche ignorieren
monkey business	Unsinn|albernes Verhalten|Unfug|Unruhe|Unordnung
sting in the tail	unerwartete Wendung|unerwartetes Ende|unerwarteter Haken|unerwartete Pointe
landing on his feet	sich immer wieder auf die Beine stellen|sich immer wieder durchsetzen|sich immer wieder behaupten|sich immer wieder erholen
bee in her bonnet	etwas im Kopf haben, das man ständig anspricht|eine fixe Idee haben|etwas ständig im Kopf haben, das man nicht loswird
not the end of the world	kein Weltuntergang|nicht das Ende der Welt|nicht so schlimm|nicht dramatisch|nicht tragisch
social butterfly	geselliger Mensch|Kontaktfreudige Person|Gesellschaftslöwe|Gesellschaftsschmetterling
not his cup of tea	nicht sein Ding sein|nicht sein Fall sein|nicht sein Geschmack sein|nicht mögen
march to the beat of your own drum	Seinen eigenen Weg gehen|Sein eigenes Ding machen|Seine eigene Musik spielen|Seine eigene Melodie pfeifen
get her feet wet	sich einarbeiten|sich zurechtfinden|sich eingewöhnen|sich akklimatisieren
stop and smell the roses	sich Zeit nehmen|sich Zeit lassen|entspannen|die Dinge genießen|die Schönheit des Lebens wahrnehmen
step up their game	sich verbessern|sich steigern|sich anstrengen|sich mehr anstrengen|sich mehr bemühen|sich mehr engagieren|sich mehr Mühe geben|sich mehr ins Zeug legen|sich mehr anstrengen müssen|sich mehr anstrengen sollen|eine Schippe drauflegen|einen Zahn zulegen
take it easy	sich schonen|sich zurückhalten|sich ausruhen|es langsam angehen lassen
showed his true colors	seine wahren Absichten offenbaren|seine wahren Farben zeigen|seine Maske fallen lassen
bunch of hogwash	Unsinn|Schwachsinn|Quatsch|Blödsinn|Unfug
beauty contest	Konkurrenzkampf|Wettbewerb|Ausscheidungskampf|Herausforderung
the bee's knees	etwas Besonderes|etwas Außergewöhnliches|etwas Tolles|etwas Großartiges|etwas Hervorragendes
keep her head above water	sich über Wasser halten|sich über Wasser halten können|nicht untergehen|nicht untergehen können|nicht untergehen lassen|nicht untergehen lassen können
death warmed over	aussehen wie der Tod auf Urlaub|aussehen wie der Tod auf Latschen|furchtbar aussehen|furchtbar schlecht aussehen|NA
a big fish in a small pond	ein großer Fisch im kleinen Teich sein
can stomach	ertragen|aushalten|verkraften|dulden
sweating bullets	sehr nervös sein|sich in die Hose machen|sich in die Hosen machen|sich in die Hose scheißen|sich in die Hosen scheißen|sich in die Hose machen vor Angst|sich in die Hosen machen vor Furcht|sich in die Hose machen vor Schreck|sich in die Hosen machen vor Aufregung|sich in die Hose machen vor Nervosität|sich in die
a bee in her bonnet	etwas auf dem Kieker haben|etwas ständig im Kopf haben|etwas ständig im Sinn haben|etwas ständig im Blick haben
in over his head	überfordert sein|sich über den Kopf wachsen lassen|nicht mehr Herr der Lage sein|sich in Schwierigkeiten bringen
lend a hand	jemandem unter die Arme greifen|jemandem helfen|jemandem zur Hand gehen|jemandem unterstützen
in the bag	sicher sein|in trockenen Tüchern sein|bereits gewonnen haben|sicher sein, dass etwas passieren wird
has bees in his bonnet	besessen sein von etwas|etwas ständig im Kopf haben|etwas nicht aus dem Kopf bekommen
miss the boat	eine Chance verpassen|den Anschluss verlieren|zu spät kommen|den Zug verpassen
had bats in her belfry	verrückt sein|nicht mehr alle Tassen im Schrank haben|nicht mehr ganz bei Sinnen sein
rest on his laurels	sich auf seinen Lorbeeren ausruhen|sich auf seinen Erfolgen ausruhen|sich zurücklehnen und nichts tun
put all her eggs in one basket	To rely on one thing only|To depend on one thing only|To concentrate all efforts on one thing only
chip off the old block	jemandem wie aus dem Gesicht geschnitten sein|jemandem sehr ähnlich sein|wie der Vater, so der Sohn|wie die Mutter, so die Tochter
buried her head in the sand	sich vor der Realität verschließen|den Kopf in den Sand stecken|die Augen vor der Wahrheit verschließen
touch base	Kontakt aufnehmen|sich melden|sich in Verbindung setzen|sich kurz absprechen
there's no tomorrow	als gäbe es kein Morgen|ohne Rücksicht auf Verluste|ohne an die Zukunft zu denken
at loggerheads	sich in den Haaren liegen|sich streiten|sich zanken|sich bekämpfen
the elephant in the room	something that is obvious but not talked about|ein offenes Geheimnis|ein unangenehmes Thema, das vermieden wird|ein Tabuthema
put their best foot forward	sich von der besten Seite zeigen|sich von der Schokoladenseite präsentieren|einen guten Eindruck machen wollen
keep his cool	Ruhe bewahren|die Nerven behalten|gelassen bleiben|sich nicht aus der Ruhe bringen lassen
put her foot in her mouth	etwas Falsches sagen|ins Fettnäpfchen treten|sich ungeschickt ausdrücken|einen Fauxpas begehen
hold your horses	etwas langsamer angehen|sich etwas gedulden|sich zurückhalten|nicht voreilig handeln
stealing the show	die Show stehlen|im Rampenlicht stehen|im Mittelpunkt stehen|die Aufmerksamkeit auf sich ziehen
wears his heart on his sleeve	seine Gefühle offen zeigen|seine Emotionen nicht verbergen|seine Gefühle nicht verstecken|offen seine Meinung sagen
to mind her own beeswax	to mind her own business|to stop being so curious|to stop being nosy|to stop meddling in other people's affairs
cracked the whip	streng durchgreifen|eine harte Linie fahren|eine harte Hand haben|disziplinieren
to keep her head above water	sich über Wasser halten|sich über Wasser halten können|nicht untergehen|nicht untergehen können|nicht aufgeben|durchhalten|durchstehen
skeletons in the closet	Geheimnisse|Dinge, die man lieber versteckt halten möchte|unangenehme Wahrheiten|peinliche Details aus der Vergangenheit
the skin of his teeth	gerade noch|mit Ach und Krach|knapp und gerade so|in letzter Sekunde|in letzter Minute
